Title,Genre,Language,Imdb_Score,Premiere,Runtime,Year,Imdb_Category
We Are One,Documentary,FRENCH,4.6,14/07/2020,86,2020,Awful
Monster,Drama,ENGLISH,6.5,07/05/2021,98,2021,Good
Grass Is Greener,Documentary,ENGLISH,7.1,20/04/2019,97,2019,Excellent
Hubie Halloween,Comedy,ENGLISH,5.2,07/10/2020,103,2020,Not Bad
Little Evil,Comedy horror,ENGLISH,5.7,01/09/2017,94,2017,Not Bad
Ferry,Crime drama,DUTCH,7.1,14/05/2021,106,2021,Excellent
Desperados,Romantic comedy,ENGLISH,5.2,03/07/2020,106,2020,Not Bad
Holidate,Romantic comedy/Holiday,ENGLISH,6.1,28/10/2020,104,2020,Good
Lust Stories,Drama,HINDI,6.5,15/06/2018,120,2018,Good
Under the Riccione Sun,Romantic teenage drama,ITALIAN,5.4,01/07/2020,101,2020,Not Bad
Burning Sands,Drama,ENGLISH,6.1,10/03/2017,102,2017,Good
Dead Kids,Thriller,FILIPINO,5.5,01/12/2019,94,2019,Not Bad
Spenser Confidential,Action comedy,ENGLISH,6.2,06/03/2020,111,2020,Good
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,SPANISH_ENGLISH,7.3,08/07/2020,96,2020,Excellent
Tallulah,Comedy-drama,ENGLISH,6.7,29/07/2016,111,2016,Good
Step Sisters,Comedy,ENGLISH,5.5,19/01/2018,108,2018,Not Bad
The Most Assassinated Woman in the World,Thriller,FRENCH,5.3,07/09/2018,102,2018,Not Bad
Serious Men,Drama,HINDI,6.8,02/10/2020,114,2020,Good
All Together Now,Drama,ENGLISH,6.5,28/08/2020,93,2020,Good
Win It All,Comedy,ENGLISH,6.2,07/04/2017,88,2017,Good
Offering to the Storm,Thriller,SPANISH,6.2,24/07/2020,139,2020,Good
"Hello Privilege. It's Me, Chelsea",Documentary,ENGLISH,4.4,13/09/2019,64,2019,Awful
The Claudia Kishi Club,Documentary,ENGLISH,6.9,10/07/2020,17,2020,Good
The White Helmets,Documentary,ENGLISH,7.5,16/09/2016,40,2016,Excellent
The Do-Over,Action comedy,ENGLISH,5.7,27/05/2016,108,2016,Not Bad
The Old Guard,Superhero/Action,ENGLISH,6.7,10/07/2020,124,2020,Good
Tigertail,Drama,ENGLISH_TAIWANESE_MANDARIN,6.5,10/04/2020,91,2020,Good
Recovery Boys,Documentary,ENGLISH,6.6,29/06/2018,89,2018,Good
Rajma Chawal,Comedy-drama,HINDI,5.8,30/11/2018,118,2018,Not Bad
The Kissing Booth,Romantic comedy,ENGLISH,6.0,11/05/2018,105,2018,Good
The Trader,Documentary,GEORGIAN,6.8,09/02/2018,23,2018,Good
Benji,Family film,ENGLISH,6.3,16/03/2018,87,2018,Good
15-Aug,Comedy-drama,MARATHI,5.8,29/03/2019,124,2019,Not Bad
Chadwick Boseman: Portrait of an Artist,Documentary,ENGLISH,6.5,17/04/2021,21,2021,Good
Kingdom of Us,Documentary,ENGLISH,7.0,13/10/2017,109,2017,Excellent
Audrie & Daisy,Documentary,ENGLISH,7.2,23/09/2016,98,2016,Excellent
5 Star Christmas,Comedy,ITALIAN,4.6,07/12/2018,95,2018,Awful
Father Soldier Son,Documentary,ENGLISH,7.3,17/07/2020,100,2020,Excellent
The Occupant,Thriller,SPANISH,6.4,25/03/2020,103,2020,Good
Gunjan Saxena: The Kargil Girl,Drama,HINDI,5.3,12/08/2020,112,2020,Not Bad
See You Yesterday,Science fiction,ENGLISH,5.2,17/05/2019,87,2019,Not Bad
Pee-wee's Big Holiday,Adventure,ENGLISH,6.1,18/03/2016,89,2016,Good
Anelka: Misunderstood,Documentary,FRENCH,6.4,05/08/2020,94,2020,Good
Oxygen,Science fiction thriller,FRENCH,6.5,12/05/2021,101,2021,Good
Tony Parker: The Final Shot,Documentary,FRENCH,6.8,06/01/2021,98,2021,Good
His House,Thriller,ENGLISH,6.5,30/10/2020,93,2020,Good
13th,Documentary,ENGLISH,8.2,07/10/2016,100,2016,Excellent
Ladies First,Documentary,ENGLISH_HINDI,7.2,08/03/2018,39,2018,Excellent
Calibre,Thriller,ENGLISH,6.8,29/06/2018,101,2018,Good
Lost Girls,Crime drama,ENGLISH,6.1,13/03/2020,95,2020,Good
Brahman Naman,Comedy,ENGLISH,5.6,07/07/2016,95,2016,Not Bad
Girlfriend's Day,Comedy,ENGLISH,5.2,14/02/2017,70,2017,Not Bad
Anima,Musical / Short,ENGLISH,7.7,27/06/2019,15,2019,Excellent
The Irishman,Crime drama,ENGLISH,7.8,27/11/2019,209,2019,Excellent
Dolly Parton: A MusiCares Tribute,Documentary,ENGLISH,6.5,07/04/2021,55,2021,Good
IO,Science fiction/Drama,ENGLISH,4.7,18/01/2019,95,2019,Awful
After Maria,Documentary,ENGLISH_SPANISH,4.6,24/05/2019,37,2019,Awful
Amanda Knox,Documentary,ENGLISH,6.9,30/09/2016,92,2016,Good
Dad Wanted,Family,SPANISH,5.7,11/09/2020,102,2020,Not Bad
To All the Boys: P.S. I Still Love You,Romantic comedy,ENGLISH,6.0,12/02/2020,102,2020,Good
Naked,Comedy,ENGLISH,5.4,11/08/2017,96,2017,Not Bad
Guilty,Thriller,HINDI,5.4,06/03/2020,119,2020,Not Bad
To All the Boys I've Loved Before,Romantic comedy,ENGLISH,7.1,17/08/2018,99,2018,Excellent
Tribhanga ? Tedhi Medhi Crazy,Drama,HINDI,6.1,15/01/2021,95,2021,Good
Team Foxcatcher,Documentary,ENGLISH_RUSSIAN,7.3,29/04/2016,90,2016,Excellent
The Players,Comedy,ITALIAN,4.6,15/07/2020,88,2020,Awful
Take Your Pills,Documentary,ENGLISH,6.4,16/03/2018,87,2018,Good
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,ENGLISH,7.1,26/01/2017,36,2017,Excellent
Wheelman,Action thriller,ENGLISH,6.4,20/10/2017,82,2017,Good
Resurface,Documentary,ENGLISH,7.0,01/09/2017,27,2017,Excellent
Dangerous Lies,Thriller,ENGLISH,5.3,30/04/2020,97,2020,Not Bad
A Life of Speed: The Juan Manuel Fangio Story,Documentary,SPANISH,6.8,20/03/2020,92,2020,Good
One of Us,Documentary,ENGLISH,7.1,20/10/2017,95,2017,Excellent
